en_us	pt_BR
Yeah, somebody.	Yeah, alguém.
Won't you send me somebody.	você não vai me enviar alguém?.
Now won't you send me somebody.	Agora você não vai me enviar alguém?.
Well, call for somebody, scream loud and bloody.	Bom, chame por alguém, Grite alto e sangrando.
Call woman, woman, come on to me.	Chame mulher, mulher, venha para mim.
Save for tomorrow, share all your sorrow.	Salve para o amanhã, divida toda a sua tristeza.
Misery enjoys company (yes it does, yes it does).	A miséria gosta de sua companhia  (sim ela gosta, sim ela gosta).
Something	Algo
You're making me wait like there's no tomorrow.	Você está me fazendo esperar como se não houvesse amanhã.
You're taking from me what I can't beg or borrow.	Você está tomando de mim o que eu não posso emprestar ou pedir.
There's something that tells me your life has changed.	Há algo que me diz que sua vida mudou.
There's something that tells me this isn't a game.	Há algo que me diz que isso não é um jogo.
There's something that tells me that you hit the floor.	Há algo que me diz que você atingiu o piso.
There's something that tells me that you got everything you need.	Há algo que me diz que você tem tudo o que precisa.
But all you want is more.	Mas tudo o que você quer é mais.
You knew there was dreams I had in my corner.	Você sabia que eu tinha sonhos.
I made you a dollar you gave me a quarter.	Eu te fiz um dólar, você me deu vinte e cinco centavos.
There's something that tells me your life has changed.	Há algo que me diz que sua vida mudou.
There's something that tells me this isn't a game.	Há algo que me diz que isso não é um jogo.
There's something that tells me that you hit the floor.	Há algo que me diz que você atingiu o piso.
There's something that tells me that you got everything you need.	Há algo que me diz que você tem tudo o que precisa.
But all you want is more.	Mas tudo o que você quer é mais.
There's something that tells me your life has changed.	Há algo que me diz que sua vida mudou.
There's something that tells me this isn't a game.	Há algo que me diz que isso não é um jogo.
There's something that tells me that you hit the floor.	Há algo que me diz que você atingiu o piso.
There's something that tells me that you got everything you need.	Há algo que me diz que você tem tudo o que precisa.
But all you want is more.	Mas tudo o que você quer é mais.
St. John	Seu John
John was bad he gave it everything he had.	John era ruim ele deu tudo o que tinha.
John he prayed for all the people ever made.	João rezou para todos os povos de todos os tempos.
John was cool he never did no afterschool.	John era legal ele nunca fez nenhum pré.
late at night when he praised the lord.	tarde da noite quando ele elogiou o senhor.
he laid his hand down upon the sword.	ele pôs a mão para baixo em cima da espada.
lay down upon the sword.	deitou-se sobre a espada.
lay down upon the sword.	deitou-se sobre a espada.
lay down upon the sword.	deitou-se sobre a espada.
lay down your bloody sword.	deitou-se sobre sua espada ensanguentada.
John St. John be cool.	John St. John seja legal.
tell the people they'll follow you.	diga ao povo que eles sigam você.
John St. John be cool.	John St. John seja legal.
tell the people they'll follow you.	diga ao povo que eles sigam você.
late at night when he praised the lord.	tarde da noite quando ele elogiou o senhor.
he lay his hands down upon the bloody sword.	deitou as mãos para baixo em cima da espada sangrenta.
laid down upon the sword, down, down upon the sword.	deitou-se sobre a espada, para baixo, para baixo em cima da espada.
laid down upon the sword, getting down upon the sword.	deitou-se sobre a espada, descendo da espada.
laid down upon the sword, laid it down upon the sword.	deitou-se sobre a espada, colocou-se em cima da espada.
"laid down upon the sword, ""late night tv roared""."	"deitou-se sobre a espada, ""TV tarde da noite rugia""."
Stop Messin' Around	Pare de Provocar
Baby, please stop messin' 'roundin.	Baby, por favor pare de provocar.
You'll be messin' around all the time.	Você ficará provocando o tempo todo.
Baby, please stop messin' around.	Baby, por favor pare de provocar.
You'll be messin' around all the time.	Você ficará provocando o tempo todo.
If you don't stop messin' 'round.	Se você não parar de provocar.
You'll be somebody's baby.	Você será de outra pessoa.
Instead of mine, yes sir.	Ao invés de minha, sim senhor.
You rockin' me baby.	Você me agita baby.
Till my face is cherry red.	Até que meu rosto fique vermelho.
You're rockin' so hard.	Você me agita tanto.
I fall right out of bed.	Que eu caiu da cama.
I said,.	Eu disse,.
Baby, please stop messin' 'round.	Baby, por favor pare de provocar.
You'll be messin' around all the time.	Você ficará provocando o tempo todo.
If you don't stop messin' 'round.	Se você não parar de provocar.
You'll be somebody's baby.	Você será de outra pessoa.
Instead of mine.	Ao invés de minha.
You rockin' me baby.	Você me agita baby.
Till my face is cherry red.	Até que meu rosto fique vermelho.
You're rockin' so hard.	Você me agita tanto.
I fall right out of bed.	Que caiu da cama.
I said,.	Eu disse,.
Baby, please stop messin' 'round.	Baby, por favor pare de provocar.
You'll be messin' around all the time.	Você ficará provocando o tempo todo.
If you don't stop messin' 'round.	Se você não parar de provocar.
You'll be somebody's baby.	Você será de outra pessoa.
Instead of mine.	Ao invés de minha.
Street Jesus	Rua Jesus
Hey have you heard the news?.	Ei você já ouviu a notícia?.
Somebody stole my shoes.	Alguém roubou meus sapatos.
And I can smell the booze.	E eu posso sentir o cheiro da bebida.
How indiscreet.	Quão indiscreto.
And though I had a plan.	E embora eu tivesse um plano.
After that thief outran.	Depois disso o ladrão correu mais rápido.
Into another man.	Em outro homem.
Who had no feet.	Que não tinha pés.
I swear to god that day.	Eu juro por Deus que nesse dia.
That guy with no feet say.	Que o cara sem os pés disse:.
“You got to walk my way”.	Você tem que andar o meu caminho.
“That’s how it’s planned”.	"""É assim que está planejado""."
That’s when I thought: good grief.	Foi quando eu pensei: meu Deus.
J-just ain’t my belief.	S-só não é a minha crença.
Until I saw the holes.	Até que eu vi os buracos.
Inside his hand.	Dentro de sua mão.
Street Jesus.	Rua Jesus.
Street Jesus.	Rua Jesus.
Come on, come on, what you think about life?.	Vamos lá, vamos lá, o que você pensa sobre a vida?.
Demon in heaven gotta carry a knife.	Demônio no céu tem que carregar uma faca.
You said to me: no, that ain’t the plan.	Você me disse: não, esse não é o plano.
With a smile on his face and the holes in his hand.	Com um sorriso no rosto e os buracos em sua mão.
Wise man tell ya what they’re reading from a scroll.	Homem sábio lhe dizer o que eles estão lendo um livro.
But things kinda change when the story gets told.	Mas as coisas meio que mudar quando a história fica dito.
They tell it like it is to everybody they meet.	Eles dizem-lhe como é a todos eles se encontram.
Just to sing it in the church what they’re preaching in the street.	Só para cantar na igreja o que eles estão pregando na rua.
Placate and vacate your mind.	Aplacar e desocupar a mente.
Too late to make hate you’ll find.	Tarde demais para fazer odeio você vai encontrar.
Street Jesus.	Rua Jesus.
Street Jesus.	Rua Jesus.
Good god almighty, s’posed to be about love.	Bom Deus todo-poderoso, s'posed ser sobre o amor.
You must’ve wished upon me by kissing the glove.	Você deve ter desejado em cima de mim beijando a luva.
I’m a high-stepping lover, sharp as a knife.	Eu sou um amante da alta-stepping, afiada como uma faca.
I’m a pink flamingo on a great long life.	Eu sou um flamingo rosa em uma grande vida longa.
A wise man, poor man, beggar man too.	Um homem sábio, homem pobre, mendigo também.
You bet your bottom dollar but whatcha gonna do?.	Pode apostar que o dólar baixo, mas o que você vai fazer?.
I can make up daylight jealous of the night.	Eu posso fazer-se luz do dia com ciúmes da noite.
I try to play the game but I never get it right!.	Eu tento jogar o jogo, mas eu nunca entendi direito!.
Placate and vacate your mind.	Aplacar e desocupar a mente.
Too late to make hate you’ll find.	Tarde demais para fazer odeio você vai encontrar.
When you wonder what’s up.	Quando você quer saber o que se passa.
With your half empty cup.	Com seu copo meio vazio.
Say tell him “don’t give up,.	"Diga dizer-lhe ""não desista,."
“Reach for the stars”.	"Alcançar as estrelas""."
You think you’re so street wise.	Você acha que você é tão sábio rua.
Just pray and close your eyes.	Apenas ore e feche os olhos.
Until we colonize.	Até que colonizar.
The moon and stars.	A lua e as estrelas.
But wouldn’t it be great.	Mas não seria ótimo.
If we could wipe the slate.	Se pudéssemos limpar a lousa.
When we all live in hate.	Quando todos nós vivemos em ódio.
And all this fear.	E todo esse medo.
So please don’t call me Sir.	Então, por favor, não me chame de Senhor.
If you’re whole life’s a blur.	Se você é toda a vida é um borrão.
And Mr. Bartender.	E Sr. Bartender.
Another beer.	Outra cerveja.
Sometimes it’s hard trying to keep up the pace.	Às vezes é difícil tentar manter o ritmo.
The train kept a rollin’ when you’re trying to win the race.	O trem manteve um 'rollin quando você está tentando ganhar a corrida.
If you don’t believe me, wanna stay in the game.	Se você não acredita em mim, quero ficar no jogo.
You gotta know who from the heavens came.	Você tem que saber que dos céus veio.
They tell it like it is to everybody they meet.	Eles dizem-lhe como é a todos eles se encontram.
Cause they’re singing in the church what they’re preaching in the street.	Porque eles estão cantando na igreja que eles estão pregando na rua.
If you wanna give ‘em hell then you tell it from the steeple.	Se você quer dar-lhe o inferno, então você diga a ele do campanário.
But I’d rather be a priest so I can scream it to the people.	Mas eu prefiro ser um sacerdote para que eu possa gritar ao povo.
Placate and vacate your mind.	Aplacar e desocupar a mente.
Too late to make hate you’ll find.	Tarde demais para fazer odeio você vai encontrar.
You won’t get too many tries.	Você não vai conseguir muitas tentativas.
Love is the love of my life.	O amor é o amor da minha vida.
Street Jesus.	Rua Jesus.
Street Jesus.	Rua Jesus.
Street Jesus.	Rua Jesus.
Street Jesus.	Rua Jesus.
Street Jesus.	Rua Jesus.
Street Jesus.	Rua Jesus.
Sudona Sunrise	Nascer do Sol em Sudona
I was a city boy.	Eu era um menino da cidade.
Cought up in a city way.	Preso no jeito da cidade.
A nitty gritty boy.	Um menino abobado de areia.
Stayin' out all night.	Ficando fora toda a noite.
And always gettin blown away.	E sempre sendo empurrado para longe.
There ain't no breeze to cool the heat of love.	Não há brisa que acalme o calor do amor.
She was a city girl.	Ela era uma menina da cidade.
With no responsibility.	E sem responsabilidade.
A pretty little city girl.	Uma linda e pequena menina da cidade.
All fired up and what's.	Toda excitada e o que.
That got to do to me.	Isso tem a ver comigo.
There ain't no breeze to cool the heat of love.	Não há brisa que acalme o calor do amor.
It's as clear as a.	É tão nítido como.
Sunrise in Sudona.	Um Nascer de Sol em Sudona.
Just what it is.	Justo como é.
That's blowin' in the wind.	E é o que o vento fala.
It's the fire in her eyes.	É o fogo nos olhos dela.
It's the tear when she cries.	É a lágrima quando ela chora.
It's the heat when I fall on my knees.	É o calor quando eu caio de joelhos.
That I'm thinkin' of.	O que eu estou pensando.
There ain't no breeze to cool the heat of love.	Não há brisa que acalme o calor do amor.
It's as clear as a.	É tão nítido como.
Sunrise in Sudona.	Um Nascer de Sol em Sudona.
Just what it is.	Justo como é.
That's blowin' in the wind.	E é o que o vento fala.
It's the fire in her eyes.	É o fogo nos olhos dela.
It's the tear when she cries.	É a lágrima quando ela chora.
It's the heat when I fall on my knees.	É o calor quando eu caio de joelhos.
That I'm thinkin' of.	O que eu estou pensando.
Sunny Side of Love	O Lado Bom do Amor
You hear them people talkin'.	Você ouve essas pessoas falando.
About the Man above.	Do Cara lá de cima.
There's too much talkin' trash.	Tem muita bobagem sendo dita.
And not enough love.	E não amor o bastante.
Now, I believe in rainbows.	Agora, eu acredito em arcos-íris.
I gotta make it clear.	Eu tenho que deixar claro.
That I told everyone you know.	Que eu disse a todos os seus conhecidos.
That you were my idea.	Que você é o meu propósito.
You're the love of my life and a keeper.	Você é o amor e a protetora da minha vida.
Head over heels and a we're fallin' deeper.	Perdidamente estamos indo com tudo.
I got a feeling it's time and so maybe.	Eu tenho um pressentimento desta vez, então quem sabe.
I got that something in mind so babe.	Eu tenha aquela coisa em mente, então querida.
Take me to your sunny side of love.	Me leve para o lado bom do seu amor.
That's right where we belong.	Sem dúvida, lá é o nosso lugar.
Take me to your sunny side of love.	Me leve para o lado bom do seu amor.
You're one of a kind girl.	Você é de um tipo único de garota.
And I just can't get enough.	E eu simplesmente não me canso.
A needle in a haystack.	Uma agulha no palheiro.
A diamond in the rough.	Um diamante bruto.
Your perfect imperfections.	Suas imperfeições perfeitas.
You know you got that right.	Você sabe que está com a razão.
It's all that lovin' all day long.	É todo aquele amor ao longo do dia.
Keeps me up all night.	Que me mantém acordado a noite toda.
No doubt about it she rhymes for no reason.	Com toda certeza ela encanta sem nenhuma razão.
We're talkin' love yeah the kind you know she's in.	Estamos falando de amor, é, do tipo que ela realmente sente.
You want a kiss and you know that you ought to.	Você quer um beijo e sabe o que tem que fazer.
Yeah, you can't miss and you know you've got to.	É, não dá pra ignorar e você sabe que precisa.
Take me to your sunny side of love.	Me levar para o lado bom do seu amor.
That's right where we belong.	Sem dúvida, lá é o nosso lugar.
Take me to your sunny side of love.	Me leve para o lado bom do seu amor.
You know that it won't take long.	Você sabe que não vai custar muito.
Take me to your sunny side of love.	Me leve para o lado bom do seu amor.
You're the love of my life and a keeper.	Você é o amor e a protetora da minha vida.
Head over heels and a we're fallin' deeper.	Perdidamente estamos indo com tudo.
I got a feeling it's time and so maybe.	Eu tenho um pressentimento desta vez, então quem sabe.
I got that something in mind so babe.	Eu tenha aquela coisa em mente, então querida.
Take me to your sunny side of love.	Me leve para o lado bom do seu amor.
That's right where we belong.	Sem dúvida, lá é o nosso lugar.
Take me to your sunny side of love.	Me leve para o lado bom do seu amor.
You know that it won't take long.	Você sabe que não vai custar muito.
Take me to your sunny side of love.	Me leve para o lado bom do seu amor.
Yeahh!.	Yeahh!.
Take me to your sunny side of love.	Me leve para o lado bom do seu amor.
Sunshine	Raio de Sol
I sold my soul for a one night stand.	Eu vendi minha alma por uma noitada.
I followed Alice into Wonderland.	Eu segui Alice ao País das Maravilhas.
I ate the mushroom and I danced with the queen.	Eu comi o cogumelo e dancei com a rainha.
Yeah we danced in between all the lines.	Yeah, nós dançamos em meio a todas as linhas.
I followed daylight right into the dark.	Eu segui a luz do dia até a escuridão.
Took to the hatter like a walk in the park.	Fui ao chapeleiro como um passeio no parque.
But then I met her, yeah, she felt so right.	Mas então eu a encontrei, yeah ela parecia ser a certa.
No child of the night, yeah, was she.	Nenhuma criança da noite, yeah, ela era.
They call her Sunshine.	Eles a chamam de Raio de sol.
The kind that everybody knows (yeah yeah).	O tipo que todos conhecem (yeah yeah).
Sunshine.	Raio de sol.
She's finer than a painted rose (yeah yeah).	Ela é melhor do que uma rosa pintada (yeah yeah).
Sunshine, yeah.	Raio de sol, yeah.
Her kinda love's what I adore.	O tipo de amor dela é o que eu adoro.
What kind of trouble am I in for.	Que tipo de problema estou prestes a ter?.
My kind of Heaven lies at Hell's back door.	O meu tipo de Céu está na porta dos fundos do Inferno.
And I got more than I need.	E eu consegui mais do que eu precisava.
'Cause I need Sunshine.	Porque eu preciso do Raio de sol.
The kind that everybody knows (yeah yeah).	O tipo que todos conhecem (Yeah yeah).
My Sunshine.	Meu Raio de sol.
She's finer than a painted rose (yeah yeah).	Ela é melhor do que uma rosa pintada (yeah yeah).
Sunshine, yeah.	Raio de sol, yeah.
I got the karma but it don't come free.	Eu tenho o carma mas ele não veio de graça.
I chased that rabbit up the old oak tree.	Eu segui o coelho até a árvore.
The caterpillar's tryin' to cop a plea.	A lagarta está tentando conseguir um pretexto.
But the smoke ain't got nothin' on me (yeah).	Mas a fumaça não me afetou (yeah).
Ya gotta have my Sunshine.	Eu tenho o meu Raio de sol.
The kinda that everybody knows (yeah yeah).	O tipo que todos conhecem (Yeah yeah).
my Sunshine,.	Raio de sol.
She finer than a painted rose (yeah yeah).	Ela é melhor do que uma rosa pintada (yeah yeah).
she's Sunshine.	Ela é o Raio de sol.
The kind that everybody knows (yeah yeah).	O tipo que todos conhecem (Yeah yeah).
Sunshine.	Raio de sol.
She's finer than a painted rose (yeah yeah).	Ela é melhor do que uma rosa pintada (yeah yeah).
Sunshine.	Raio de sol.
Sunshine, yeah.	Raio de sol, yeah.
Sweet Emotion	Doce Emoção
Sweet emotion.	Doce emoção.
Sweet emotion.	Doce emoção.
You talk about things and nobody cares.	Você fala sobre coisas que ninguém liga.
You're wearing other things that nobody wears.	Você veste outras coisas que ninguém veste.
You're calling my name but you gotta make clear.	Você está chamando meu nome, mas você vai deixar claro.
I can't say baby where I'll be in a year.	Eu não posso dizer querida onde estarei em um ano.
Some sweet talkin' mama with a face like a gent.	Algumas doces mamães falantes com faces gentis.
Said my get up and go must a got up and went.	Disseram que meu levantar e ir devia virar levantei e fui.
Well I got good news, she's a real good liar.	Bem eu tenho boas notícias, ela é uma ótima mentirosa.
'Cause the backstage boogie set your pants on fire.	Porque o ritmo dos bastidores fizeram suas calças pegarem fogo.
Sweet emotion.	Doce emoção.
Sweet emotion.	Doce emoção.
I pulled into town in a police car.	Eu fui puxado para dentro da cidade em um carro de policia.
Your daddy said I took it just a little to far.	Seu pai disse que eu levei isto um pouco longe demais.
You're telling me things but your girlfriend lied.	Você está me dizendo coisas, mas sua namorada mente.
You can't catch me 'cause the rabbit gone died.	Você não pode me pegar porque o coelho que foi morreu.
Yes, it is.	Sim, é isso.
You stand in the front just a shakin' your ass.	Você está na minha frente mexendo seu traseiro.
I'll take you backstage, you can drink from my glass.	Eu levarei você para os bastidores, você pode beber do meu copo.
I talk about something you can sure understand.	Eu falo sobre alguma coisa que você com certeza entende.
'Cause a month on the road an' I'll be eating from your hand.	Porque em um mês na estrada eu estarei comendo na sua mão.
Taste of India	Sabor da Índia
God I love the sweet taste of India.	Deus eu amo o doce sabor da Índia.
Lingers on the tip of my tongue.	Arrastando-se na ponta da minha língua.
Gotta love the sweet taste of India.	Tenho de amar o doce sabor da Índia.
Blame it on the beat of the drum.	Culpe a batida do tambor.
God I love the sweet taste of India.	Deus eu amo o doce sabor da Índia.
Lingers on the tip of my tongue.	Arrastando-se na ponta da minha língua.
Gotta know that´s what´s gotten into ya.	Tenho de saber o que se passa com você.
Any cat man do when it´s done....	Qualquer homem gato o faz quando está pronto.
Oh yeah she´s got that kind of love incense.	Oh yeah ela tem esse tipo de insenso do amor.
That lives in her back room.	Que a leva de volta para o quarto.
And when it mixes with the funk, my friend.	E quando mistura-se com o funk, meu amigo.
It turns into perfume.	Isso vira perfume.
When you are born you´re afraid of the darkness.	Quando você nasce tem medo da escuridão.
And then you´re afraid of the light.	E depois tem medo da luz.
But I'm not afraid when I dance with my shadow.	Não tenho medo quando danço com minha sombra.
This time I'm gonna get it right.	Desta vez eu vou fazer isso certo,.
To think of what I´ll get tonight.	Para pensar no que vou conseguir essa noite.
Just lookin´ for a little taste, a taste of India.	Procurando um pouco de sabor, sabor de Índia.
She´ll steal the smile right out of your face.	Ela vai roubar o sorriso do seu rosto.
Her yin and yang, Is just the thing.	Seu ying e yang, é o que há.
She´s unpredictable my friend.	Ela é imprevisível, meu amigo.
God I love the sweet taste of India.	Deus eu amo o doce sabor da Índia.
Lingers on the tip of my tongue.	Arrastando-se na ponta da minha língua.
Gotta know that´s what´s gotten into ya.	Tenho de saber o que se passa com você.
Any cat man do when it´s done....	Qualquer homem gato o faz quando está pronto.
It´s like the first taste love of vindaloo.	Isso é como o primeiro amor saboroso de Vindaloo.
That sets your heart on fire.	Isso acende seu coração em chamas.
And if you let her stuff get into you.	E se você deixa as coisas dela entrarem em você.
It will be all that you desire.	Será tudo o que você deseja.
When you make love to the sweet tantric priestress.	Quando você faz amor com esta sacerdotiza tântrica.
Drinkin´ in the bliss of delight.	Bebendo no apogeu do deleite.
But I'm not afraid when I dance with her shadow.	Não tenho medo quando danço com minha sombra.
The time I'm gonna get it right.	Desta vez eu vou fazer isso certo.
She´s gonna whet my appetite.	Ela vai estimular meu apetite.
Just lookin´ for a little taste, taste of India.	Procurando um pouco de sabor, sabor de Índia.
She´ll steal the smile right out of your face.	Ela vai roubar o sorriso do seu rosto.
She a friend of mine, She a concubine.	Ela é uma amiga minha, ela é uma concubina,.
The sweetest wine, I gotta make her mine.	O mais doce vinho, farei ela ser minha.
God I love the sweet taste of India.	Deus eu amo o doce sabor da Índia.
Lingers on the tip of my tongue.	Arrastando-se na ponta da minha língua.
Gotta love the sweet taste of India.	Tenho de amar o doce sabor da Índia.
Blame it on the beat of the drum.	Culpe a batida do tambor.
God I love that sweet taste of India.	Deus eu amo o doce sabor da Índia.
Lingers on the tip of my tongue.	Arrastando-se na ponta da minha língua.
Gotta know that what´s gotten into ya.	Tenho de saber o que se passa com você.
Any cat man do when ot´s do.	Qualquer homem gato o faz quando está pronto.
Just think of what I´ll get tonight.	Só pensando no que vou conseguir hoje a noite.
She´s gonna whet my appetite.	Ela vai estimular meu apetite.
Just Just lookin´ for a little taste, taste of India.	Procurando um pouco de sabor, sabor de Índia.
She´ll steal the smile right out of your face.	Ela vai roubar o sorriso do seu rosto.
Tell Me	Me Diga
I think it’s time to realize it’s done.	Eu acho que é hora de perceber que está acabado.
I guess I have to accept it.	Eu acho que eu tenho que aceitar.
I was never the one.	Que eu nunca fui o único.
Yeah, it was so good.	Sim, era tão bom.
I thought I fell into someone else’s dream.	Eu acho que eu caí dentro do sonho de alguém.
Yeah, but I let it be mine, thought you let it be yours.	Sim, mas eu deixei ele ser meu, ao invés de ser seu.
No nothin’s ever what it seems.	Não nada nunca é o que parece.
I thought I felt it all around.	Eu achei que eu senti ao todo.
But now it’s lying there on the ground.	Mas agora está caído no chão.
Why was it there for me, but not for you?.	Por que estava lá pra mim, mas não pra você?.
Tell me.	Me diga.
Tell me.	Me diga.
Because it´s been so long.	Porque já se passou tanto tempo.
Now I’m sitting here.	Agora eu estou sentado aqui.
And you’re so far gone.	E você se foi para longe.
I’m staring down at the page in a magazine.	Eu estou olhando para a página de uma revista.
I looked up at the TV, but it’s just an empty screen.	Eu olhei para TV, mas ela é só uma tela vazia.
When we were together, I thought it was ecstasy.	Quando estávamos juntos, eu achava que era êxtase.
Oh I can tell the sun’s still shining.	Oh eu posso dizer que o Sol continua brilhando.
But shadows are all I can see.	Mas tudo que eu vejo são sombras.
And everywhere I go.	E em todo lugar que eu for.
I never see a face I know.	Eu sei que nunca irei ver seu rosto.
What could I say that could make you come back this way.	O que eu poderia dizer para fazer você voltar?.
Tell me.	Me diga.
Tell me.	Me diga.
Because it´s been so long.	Porque já se passou tanto tempo.
Now I’m sitting here.	Agora eu estou sentado aqui.
And you’re so far gone.	E você se foi para longe.
Now I know I should have known.	Agora eu sei que eu deveria ter sabido.
And I see I could have seen.	E eu vejo que eu poderia ter visto.
You got a restless soul.	Que você tem uma alma inquieta.
Need to know and want to find out.	Preciso conhecer e quero descobrir.
If your fields are still green... Whoaaaaa.	Se seu gramado continua verde.
Now I hope that what I hope for.	Agora eu espero que o que eu espero.
Could somehow be true.	Possa ser verdade, de alguma forma.
Why is it such a long long way to you?.	Por que é um caminho tão longo até você.
Tell me.	Me diga.
Tell me.	Me diga.
Because it´s been so long.	Porque já se passou tanto tempo.
Now I’m sitting here.	Agora eu estou sentado aqui.
And you’re so far gone..	E você se foi para longe.
Temperature	Temperatura
My baby gimme high temperature.	Minha gorota aumenta minha temperatura.
My baby gimme high temperature.	Minha gorota aumenta minha temperatura.
Yeah... 101 when we... kiss and dance.	Yeah... 101 quando nós... nos beijamos e dançamos.
102 honey... for a late night romance.	102 querida... para um romance tarde da noite.
103... 4 and 5... it get to hot to stay alive.	103... 4 e 5... fica quente demais para se continuar vivo.
My baby gimme high temperature.	Minha garota aumenta minha temperatura.
My baby gimme high temperature.	Minha garota aumenta minha temperatura.
When I see her comin'... down the street.	Quando eu vejo-a vindo... pela rua.
I be the fever giver... high to the beat.	Eu sou o que dá febre... alto até o último.
103... 4 and 5... it get to hot to stay alive.	103... 4 e 5... fica quente demais para se continuar vivo.
My baby gimme high temperature.	Minha garota aumenta a minha temperatura.
My baby gimme high temperature.	Minha garota aumenta a minha temperatura.
97... 98 is just a... false alarm.	97... 98 é só um alarme falso.
My temperature 105 when I hold her... in my arms.	Minha temperatura a 105 qunado eu seguro-a... em meus braços.
103... 4 and 5... it get to hot to stay alive.	103... 4 e 5... fica quente de mais para se continuar vivo.
The Farm	A Fazenda
There´s a cockroach in my coffee.	Tem uma barata em meu café.
There´s a needle in my arm.	Tem uma agulha no meu braço.
And I feel like New York City.	Eu me sinto como se estivesse em Nova Iorque.
Get me to the farm.	Leve-me à fazenda.
Get me to the farm.	Leve-me à fazenda.
Get me to the farm.	Leve-me à fazenda.
Somebody get me to the farm.	Alguém me leve à fazenda.
I got terminal uniqueness.	Eu virei um paciente terminal único.
I'm an egocentric man.	Eu sou um homem egocêntrico.
I get caught up in my freakness.	Eu fiquei preso na  minha loucura.
But I ain´t no Peter Pan.	Mas eu não sou Peter Pan.
Get me to the farm.	Leve-me à fazenda.
Get me to the farm.	Leve-me à fazenda.
Get me to the farm.	Leve-me à fazenda.
Get me....	Leve-me.
Buckle up straight Jack.	Afivele meu cinto, Jack.
Sanity is such a drag.	Insanidade é uma droga.
Jellybeam thorazene.	Balas de Clorpromazina.
Trancendental jet lag.	Jet lag transcendental.
Sanity I ain´t gotta.	Eu não tenho sanidade.
Feeling like a pinala.	Se sentindo como uma piñata.
Sucker punch-blowin´lung.	acertado de surpresa, vomitar.
Motherload-pigeonholed.	Sorte grande, categorizado.
I'm feeling like I'm gonna explode.	Estou me sentindo como se fosse explodir.
I wanna be a Hare Krishna.	Eu quero virar hare krishna.
Tattoo a dot right on my head.	Tatue um ponto em minha testa.
And the prozac is my fixer.	E o prozac é meu remédio.
I am the living dead.	E estou vivendo como morto.
Take me to the farm.	Leve-me à fazenda.
Take me to the farm.	Leve-me à fazenda.
Somebody take me to the farm.	Alguém me leve à fazenda.
Somebody take me to the farm.	Alguém me leve à fazenda.
Take me to the farm.	Leve-me à fazenda.
Take me to the farm.	Leve-me à fazenda.
Somebody take me to the farm.	Alguém me leve à fazenda.
Somebody take me to the farm.	Alguém me leve à fazenda.
Take me to the farm.	Leve-me à fazenda.
Take me to the farm.	Leve-me à fazenda.
Take me to the farm....	Leve-me à fazenda.
Take me to the farm.	Leve-me à fazenda.
Take me to the farm.	Leve-me à fazenda.
Somebody take me to the farm.	Alguém me leve à fazenda.
The Hop	O Sucesso
Thinkin' 'bout the night life.	Pensando na vida noturna.
In the ladies powder room.	Na sala de maquiagem das senhoras.
Brother's like a howlin' wolf.	O irmão é como um lobo uivante.
By the light of the silvery moon.	À luz da lua prateada.
Joey's like a pavlos dog.	Joey é como um cachorro.
When he starts to salivate.	Quando começa a babar.
A hardly man himself.	Ele mesmo um homem difícil.
Is hard to shake his rattle snake.	É duro sacudir a sua cobra falante.
(Chorus).	(Refrão).
Me, I got a brand new babe.	Eu, eu tenho uma nova garota.
You know something just ain't right.	Mas sabe, algo não está certo.
I say yeah, yeah.	Eu digo yeah, yeah.
Can't stop rockin' tonight.	Não posso parar de detonar esta noite.
Hangin' at the shopping mall.	Passeando no shopping.
With a watchman full of sash.	Com um vigia de cinto.
Leave your smile outside the door.	Deixe seu sorriso lá fora.
'Cause the kids be kickin' ass.	Porque os garotos estão um pé no saco.
My old boot heels be smokin'.	O salto das minhas velhas botas estão fumaçando.
You really got to understand.	Você tem que entender.
We're burning down the town tonight.	Vamos queimar a cidade esta noite.
When the new shit hits the fan.	Quando a nova merda atingir o fã.
(Chorus).	(Refrão).
Yeah, yeah, can't stop rockin' tonight.	Yeah, yeah, não posso parar de detonar essa noite.
Lyin' on your back tonight.	Mentindo pra si esta noite.
Watch the moon eclipse.	Assiste o eclipse lunar.
Mabye eatin' out tonight.	Talvez comendo fora essa noite.
But you just ain't leavin' tips.	Mas você não deixa gorjetas.
So you best watch out what you do.	Então é melhor ver o que faz.
And who you do it with.	E com quem você faz.
'Cause you'll be kickin' ass tonight.	Porque você vai ser um pé no saco essa noite.
The Reason a Dog	A Razão De Um Cão
You keep knockin' but you can't come in.	Você continua batendo mas não pode vir.
The way you love I adore.	O jeito que você ama eu adoro.
You always come never know where you been.	Você nunca vem sempre sabe onde você foi.
But a-now I'm here baby to even the score.	Mas agora eu estou aqui ainda baby para a pontuação.
You're up, you're down.	Você está em cima, você está embaixo.
You're always running in place.	Você está sempre correndo no lugar.
Triathlon if you please.	Triatlo, se você quiser.
You're always beggin' me for a taste.	Você sempre me inicia para um sabor.
But I ain't up to snuff if you sneeze.	Mas eu não subo ao rapé se você espirrar.
Yak yak yak.	Yak yak yak.
Lord you give me the bends.	Senhor você me dá as curvas.
Heads and tails.	Cara e coroa.
You're all out of love.	Você é tudo por amor.
Like The Reason A Dog.	Como a Razão De Um Cão.
Has so many friends.	Tem tantos amigos.
